Descrição da Solicitação,Propriedade,Arquivos e mídia,Bloqueio,Comentário uMode,Criado em,Criado por,Criticidade,Data da Solicitação,Data de Conclusão,Data de Previsão de Entrega,Etapa,Files & media,Fórmula,Horas - Recurso Específico,Horas de Demanda,ID,Key Account/Responsável,Nível de Esforço,Observações,Prioridade,Projeto,Quem solicitou?,RFI,Responsabilidade,Suporte Integração,Task,Tempo de Resolução,Texto,Tipo de Demanda,Total de Horas,uMode - Macro Tema,Área Responsável,Última edição,👥 Clientes
Possibilidade de acrescentar Rendimento e Prazo de Entrega na ficha de material,Não iniciada,,,,26 de janeiro de 2026 15:05,Laura Delgado,,,,,Backlog,,,,,UMD-950,,,,,,,,Demanda com uMode,,,,,Configuração,,,,9 de abril de 2026 10:29,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)
Ajustes da Ficha conforme alinhamento do Time.,Concluída,"Sem%20t%C3%ADtulo/ALTERAES_UMODE_.pdf, Sem%20t%C3%ADtulo/Cadastro_umode_-_Orientaes_cadastro_(1).pdf",,,26 de janeiro de 2026 15:22,Laura Delgado,,,,,Demanda Concluída,,,,,UMD-951,"Laura Delgado, Andrea Holmer",,,,,Carol + Time,,Demanda com uMode,,,,,Configuração,,,KA,16 de março de 2026 16:51,Moda Objetiva (https://app.notion.com/p/Moda-Objetiva-295b1d38e76880118addca9ad3e85807?pvs=21)
Materiais e produto não integraram,Concluída,,,,27 de janeiro de 2026 17:35,Ana Paula Ramos,,27/01/2026,,,Demanda Concluída,,,,,UMD-953,"Laura Delgado, Andrea Holmer",,,,,Amanda e Luciana,,Demanda com uMode,,,,,Erro/ Bug,,,OPERAÇÃO,10 de fevereiro de 2026 10:42,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)
Materiais não integraram,Concluída,,,Aguardando retorno do cliente,27 de janeiro de 2026 17:43,Ana Paula Ramos,,27/01/2026   (BRT),,,Demanda Concluída,,,,,UMD-954,"Laura Delgado, Andrea Holmer",,Passei pra Paulinha 16/03 para ver se precisa de ajuda para finalizarmos,,,Mariana Basso,,Demanda com uMode,Leitura - Material pendente,https://linear.app/umode/issue/INTEG-673/baw-integr-leitura-material-pendente,1,,Integração,,,TECH,26 de março de 2026 17:04,Baw (https://app.notion.com/p/Baw-6c36c6a40d904f2fb65ebc1f09933ad4?pvs=21)
Avaliar questão de Kits Multicolors,Concluída,,,,28 de janeiro de 2026 11:36,Laura Delgado,,,30 de janeiro de 2026,,Demanda Concluída,,,,,UMD-956,"Laura Delgado, Andrea Holmer",,,,,Pamela,,Demanda com uMode,,,,,Configuração,,,KA,30 de janeiro de 2026 11:52,Oficina Reserva (https://app.notion.com/p/Oficina-Reserva-a27d12dd1749485488ea17df5dd253ac?pvs=21)
Ajustar Perfil Ana Queiroz,Concluída,,,,28 de janeiro de 2026 15:47,Andrea Holmer,,,,,Demanda Concluída,,,,,UMD-957,"Laura Delgado, Andrea Holmer",,,,,Mari,,Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,28 de janeiro de 2026 17:24,Oficina Reserva (https://app.notion.com/p/Oficina-Reserva-a27d12dd1749485488ea17df5dd253ac?pvs=21)
Duplicação de Variante em Materiais (Custo Dinâmico),Nível de Análise,,,Legado,29 de janeiro de 2026 03:09,Andrea Holmer,,28/01/2026,,,Análise uMode,,,,,UMD-958,"Laura Delgado, Andrea Holmer",,,,,Mariane / Joyce,,Demanda com uMode,Leitura - Material pendente,https://linear.app/umode/issue/INTEG-703/oficina-integr-leitura-material-com-variante-duplicada,,,Integração,,integração,TECH,18 de maio de 2026 15:45,Oficina Reserva (https://app.notion.com/p/Oficina-Reserva-a27d12dd1749485488ea17df5dd253ac?pvs=21)
Definir Validações / Campos obrigatórios para integração,Encerrada,,,,29 de janeiro de 2026 15:43,Laura Delgado,,29/01/2026   (BRT),,,Demanda Cancelada,,,,,UMD-959,"Laura Delgado, Andrea Holmer",,,,,Angelica,,Demanda com uMode,,,,,Integração,,,TECH,20 de abril de 2026 14:38,Highstil (https://app.notion.com/p/Highstil-c856575a8bb74628aeca8c8f9f8fcf1b?pvs=21)
Ação de Validação para cadastro de Fornecedor,Encerrada,,Aguardando Time Interno - uMode,,29 de janeiro de 2026 16:07,Laura Delgado,,,,,Demanda Cancelada,,,,,UMD-960,"Laura Delgado, Andrea Holmer",,"Definimos um caminho, mas estamos aguardando aprovação da diretoria se isso vai virar RFI ou se podemos seguir com o trabalho.",,,Gustavo,,Demanda com uMode,,,,,Configuração,,,KA,17 de março de 2026 09:52,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
Revisão de Preços e Custos Integração de Escrita,Concluída,,,,30 de janeiro de 2026 15:14,Marina Santoro,,30/01/2026   (BRT),,,Demanda Concluída,,,,,UMD-961,"Laura Delgado, Andrea Holmer",,Demanda com RFI aberta em análise pela JuA e Sandro.,,,Gustavo e Gabi,Lofty | RFI: Escopo - Alteração de Regra para Custos de Variante (https://app.notion.com/p/Lofty-RFI-Escopo-Altera-o-de-Regra-para-Custos-de-Variante-2f4b1d38e768803a88fee17137744e8f?pvs=21),Demanda com uMode,,,,,Integração,,,TECH,19 de março de 2026 17:10,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)
Relatório de Gestão de Coleção BAW,Concluída,,,,2 de fevereiro de 2026 15:25,Laura Delgado,,02/02/2026   (BRT),,,Demanda Concluída,,,,,UMD-963,"Laura Delgado, Andrea Holmer",,Prioridade da semana 23/03 com Holmer para Vlidação.,,,Mari,,Demanda com uMode,,,,,Relatório,,,OPERAÇÃO,6 de abril de 2026 15:45,Baw (https://app.notion.com/p/Baw-6c36c6a40d904f2fb65ebc1f09933ad4?pvs=21)
Fornecedor não integrou,Concluída,,,,4 de fevereiro de 2026 09:05,Marina Santoro,,03/02/2026,,,Demanda Concluída,,,,,UMD-964,"Laura Delgado, Andrea Holmer",,,,,Gustavo,,Demanda com uMode,,,,,Erro/ Bug,,,OPERAÇÃO,9 de fevereiro de 2026 16:50,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)
Criar campo descrição dos produtos em inglês + integrar,Encerrada,,,-,4 de fevereiro de 2026 10:26,Julianne Rodrigues,,04/02/2026   (BRT),,,Demanda Cancelada,,,,,UMD-965,,,,," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",Mariana,,Demanda com uMode,,,,,Integração,,regra de negocio,TECH,30 de abril de 2026 11:40,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Revisar lista campo status atual conforme a lista do Linx e travas,Standby - Produto,,Aguardando momento oportuno,"Atualizar a lista do campo status atual/ Status do Linx E
aplicar travas: ",4 de fevereiro de 2026 10:42,Julianne Rodrigues,,04/02/2026,,,,,,,,UMD-966,,,,1," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",Mariana,,Demanda com uMode,,,,,Suporte,,regra de negocio,OPERAÇÃO,4 de maio de 2026 16:48,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Fila travada e materiais não integrados,Concluída,,,,4 de fevereiro de 2026 12:10,Ana Paula Ramos,,,,,Em Validação - Cliente,,,,,UMD-967,,,,," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",Giuliana,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,TECH,6 de fevereiro de 2026 14:41,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Atualizar as listas dos campos conforme a planilha documentada na demanda,Concluída,,,Esses campos são de integração,4 de fevereiro de 2026 17:07,Julianne Rodrigues,,,,11 de fevereiro de 2026,Demanda Concluída,,,,,UMD-968,"Julianne Rodrigues, Pedro Murillo",,,1,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Marcelle,,Demanda Pendente do Cliente,,,,,Suporte,,,OPERAÇÃO,12 de fevereiro de 2026 08:59,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
"Ficha técnica com variante duplicada ",Encerrada,,,,5 de fevereiro de 2026 15:31,Marina Santoro,,05/02/2026   (BRT),,,Demanda Concluída,,,,,UMD-970,,,,,,,,Demanda com uMode,Escrita - Empenho,https://linear.app/umode/issue/LEG-62/sistema-problema-de-duplicacao-em-empenho-com-pacote-de-materiais,,,Integração,,,,20 de abril de 2026 15:07,uMode (https://app.notion.com/p/uMode-d777c7bd6bee41afa8c767bcdeb1eeed?pvs=21)
"Exportar listas dos campos grupo/subgrupo , linha  ",Concluída,,,,5 de fevereiro de 2026 16:18,Julianne Rodrigues,,05/02/2026,11 de fevereiro de 2026,,Demanda Concluída,,,,,UMD-971,,,,,[CAEDU] - uFlow  (https://app.notion.com/p/CAEDU-uFlow-277b1d38e76880ebbdeee79fac74b68b?pvs=21),,,Demanda com uMode,,,,,Suporte,,,,11 de fevereiro de 2026 17:24,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21)
Grade de Tamanho,Não iniciada,,,,5 de fevereiro de 2026 17:34,Laura Delgado,,,,,Backlog,,,,,UMD-972,"Laura Delgado, Andrea Holmer",,,,,,,Demanda com uMode,,,,,Configuração,,,,5 de fevereiro de 2026 17:41,Highstil (https://app.notion.com/p/Highstil-c856575a8bb74628aeca8c8f9f8fcf1b?pvs=21)
Custo divergente entre uMode e Linx,Concluída,,,Suporte integração escrita - aguardando cliente,6 de fevereiro de 2026 10:23,Marina Santoro,,29/01/2026,,,Em Validação - Cliente,,,,,UMD-973,Julianne Rodrigues,,,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Nathalia,,Demanda com uMode,Escrita - Preços e Custos,https://linear.app/umode/issue/INTEG-685/nk-integr-escrita-divergencia-de-custo-de-produto-entre-umode-e-linx,12,,Integração,,,TECH,8 de maio de 2026 10:50,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Ajustes na ficha técnica e template de aprovação dos calçados,Concluída,,,,9 de fevereiro de 2026 11:11,Julianne Rodrigues,,19/02/2026,,,Demanda Concluída,,,,,UMD-974,,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),,,Demanda com uMode,,,,,Suporte,,,OPERAÇÃO,16 de março de 2026 10:02,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Inativar grupos e subgrupos “antigos” conforme a planilha atual de grupo e subgrupo,Concluída,,,,9 de fevereiro de 2026 11:24,Julianne Rodrigues,,,,,Demanda Concluída,,,,,UMD-975,,,,,,Ana,,Demanda com uMode,,,,,Suporte,,,OPERAÇÃO,19 de fevereiro de 2026 16:36,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Ajustes ficha do couro,Não iniciada,,,,9 de fevereiro de 2026 11:32,Julianne Rodrigues,,13/02/2026,,,Backlog,,,,,UMD-977,,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Priscila,,Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,16 de abril de 2026 15:02,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
"Novo perfill ecom  - Tabela de medidas e validação ",Concluída,,,Entender com time uMode se é possível “filtrar” pontos de medida identificados de uma tabela de medidas para enviar somente os mesmos.,9 de fevereiro de 2026 13:59,Julianne Rodrigues,,13/08/2025,,,Demanda Concluída,,,,,UMD-978,Julianne Rodrigues,,,5,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Nathalia,NK STORE | RFI : Escopo - Alteração Integração (https://app.notion.com/p/NK-STORE-RFI-Escopo-Altera-o-Integra-o-24fb1d38e7688054baa5cf30f7a4f6df?pvs=21),Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,2 de março de 2026 15:29,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Materiais desatualizados,Demanda Aceita,,,KA,10 de fevereiro de 2026 16:47,Ana Paula Ramos,,10/02/2026   (BRT),,,Em Validação - Cliente,,,,,UMD-984,,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),,,Demanda com uMode,Leitura - Material pendente,https://linear.app/umode/issue/INTEG-684/vix-integr-escrita-ficha-tecnica-atualizada-na-plataforma-mas-nao,15,"11/02-26/02 com tech (15d)
26/02-28/04 com analista (60d)",Integração,,,TECH,29 de abril de 2026 10:08,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
Atualizar produtos,Concluída,,,Preparar segundo script,10 de fevereiro de 2026 16:57,Ana Paula Ramos,,10/02/2026   (BRT),,,Demanda Concluída,,,,,UMD-985,,,,,[CAEDU] - uFlow  (https://app.notion.com/p/CAEDU-uFlow-277b1d38e76880ebbdeee79fac74b68b?pvs=21),João Neto - Via chat e e-mail.,"CAEDU | RFI : Escopo - Alteração Griffe, Linha, Grupo/Subgrupo nos Produtos (https://app.notion.com/p/CAEDU-RFI-Escopo-Altera-o-Griffe-Linha-Grupo-Subgrupo-nos-Produtos-306b1d38e7688092987bcaf9fc01b5b7?pvs=21)",Demanda Pendente do Cliente,Script,https://linear.app/umode/project/atualizacao-de-listas-de-selecao-com-script-caedu-e8e6e0a6cfda/overview,1,,Integração,,,TECH,20 de abril de 2026 15:05,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21)
,Não iniciada,,,,11 de fevereiro de 2026 15:07,Ana Paula Ramos,,,,,,,,,,UMD-986,,,,,,,,Demanda com uMode,,,,,,,,,11 de fevereiro de 2026 15:07,
Materiais não integraram,Concluída,,,,11 de fevereiro de 2026 15:07,Ana Paula Ramos,,11/02/2026   (BRT),,,Demanda Concluída,,,,,UMD-987,"Laura Delgado, Andrea Holmer",,,,,Amanda,,Demanda com uMode,Leitura - Material pendente,https://linear.app/umode/issue/INTEG-708/lofty-integr-leitura-material-pendente,9,,Integração,,,TECH,20 de abril de 2026 15:04,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)
Materiais não integraram,Concluída,,,,11 de fevereiro de 2026 15:18,Ana Paula Ramos,,11/02/2026   (BRT),,,Demanda Concluída,,,,,UMD-988,,,,,,,,Demanda com uMode,Leitura - Material pendente,https://linear.app/umode/issue/INTEG-672/lofty-integr-leitura-material-pendente,10,,Integração,,,,9 de março de 2026 13:06,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)
"Acesso liberado para edição, mas não funciona",Concluída,,,,11 de fevereiro de 2026 16:05,Laura Delgado,,,,,Demanda Concluída,,,,,UMD-989,"Laura Delgado, Andrea Holmer",,,,,Mari,,Demanda com uMode,,,,,Erro/ Bug,,,OPERAÇÃO,3 de março de 2026 10:47,Baw (https://app.notion.com/p/Baw-6c36c6a40d904f2fb65ebc1f09933ad4?pvs=21)
"Linha com cód duplicado ",Concluída,,,,12 de fevereiro de 2026 17:24,Andrea Holmer,,,,,Demanda Concluída,,,,,UMD-990,"Laura Delgado, Andrea Holmer",,,,,Daniela,,Demanda com uMode,,,,,Erro/ Bug,,,TECH,24 de março de 2026 10:50,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)
Integração verifica coleção do material ainda,Concluída,,,,12 de fevereiro de 2026 17:53,Ana Paula Ramos,,,,,Demanda Concluída,,,,,UMD-991,,,,,,Camila - via chat https://app.getgist.com/projects/r6xwnnb4/conversations/r6xwnnb4-6c5f9081-e856-c7fa-3039-222a608fb4dc?view=table,,Demanda com uMode,,,,,Integração,,,,20 de fevereiro de 2026 09:32,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21)
"O Campo Status linx não integrou normalmente, somente após forçar integração ",Concluída,,,Aguardando retorno do atendimento,13 de fevereiro de 2026 14:17,Julianne Rodrigues,,13/02/2026   (BRT),,,Em Validação - Cliente,,,,,UMD-992,,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Luana,,Demanda Pendente do Cliente,Escrita - Erro,https://linear.app/umode/issue/INTEG-688/vix-integr-escrita-integracao-do-campo-customstatus-produto,5,,Integração,,,OPERAÇÃO,16 de março de 2026 10:12,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
"Campo % do consumo não integrou ",Concluída,,,Aguardando retorno do atendimento,13 de fevereiro de 2026 14:20,Julianne Rodrigues,,13/02/2026   (BRT),,,Em Validação - Cliente,,,,,UMD-993,,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),,,Demanda com uMode,,,,,Integração,,integração,TECH,16 de março de 2026 10:12,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
Código linx da variante diferente da coleção,Demanda Aceita,,,Legado - Sem solução,13 de fevereiro de 2026 17:28,Ana Paula Ramos,,13/02/2026,,,Em Validação - Cliente,,,,,UMD-994,,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Carina Santos,,Demanda com uMode,Escrita - Erro,https://linear.app/umode/issue/INTEG-770/vix-integr-escrita-codigo-linx-gerado-com-colecao-errada,1,,Integração,,,TECH,29 de abril de 2026 10:08,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
Touch nos produtos,Concluída,,,,13 de fevereiro de 2026 17:31,Ana Paula Ramos,,,,,Demanda Concluída,,,,,UMD-995,,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Beatriz,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,16 de março de 2026 10:01,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
Ficha técnica: empenho com erro na uMode e no Linx,Concluída,,,CALCA GALICIA 06.27.0002,18 de fevereiro de 2026 16:45,Marina Santoro,,06/02/2026,,,Demanda Concluída,,,,,UMD-997,,,,,,Gustavo,,Demanda com uMode,Escrita - Empenho,https://linear.app/umode/issue/INTEG-644/lofty-integr-escrita-produto-com-erro-na-ficha-tecnica,20,,Integração,,,,9 de março de 2026 12:51,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)
"Exportar preenchiemnto do campo desc_estilo_site das coleções verão 27 fall 26 e importar no campo comentarios_estilista e inativar campo desc_estilo_site

",Encerrada,,,,19 de fevereiro de 2026 10:00,Julianne Rodrigues,,,,,Demanda Cancelada,,,,,UMD-998,,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),"Catherine ",,Demanda com uMode,,,,,Suporte,,,OPERAÇÃO,31 de março de 2026 16:12,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
Erro na importação,Concluída,Sem%20t%C3%ADtulo/Planilha_Importao_LOFTY__teste.xlsx,,,19 de fevereiro de 2026 16:50,Andrea Holmer,,,,,Demanda Concluída,,,,,UMD-999,"Laura Delgado, Andrea Holmer",,,,,Amanda,,Demanda com uMode,,,,,Erro/ Bug,,,OPERAÇÃO,20 de fevereiro de 2026 14:00,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)
"Ocultar o botão Gravar tabela como original ",Concluída,,,,20 de fevereiro de 2026 09:57,Julianne Rodrigues,,19/02/2026,,,Em Validação - Cliente,,,,,UMD-1000,,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Marcia e designers de moda,,Demanda Pendente do Cliente,,,,,Configuração,,,OPERAÇÃO,1 de abril de 2026 09:46,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Produto não integrou,Concluída,,,,20 de fevereiro de 2026 17:25,Ana Paula Ramos,,,,,Demanda Concluída,,,,,UMD-1001,,,,," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",Giuliana Ghanem,,Demanda com uMode,,,,,Erro/ Bug,,,TECH,31 de março de 2026 16:18,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Produto não gerou código linx,Concluída,,,,20 de fevereiro de 2026 17:31,Ana Paula Ramos,,,,,Demanda Concluída,,,,,UMD-1002,,,,,,Ana Paula Queiroz via chat,,Demanda com uMode,Escrita - Erro,https://linear.app/umode/issue/INTEG-698/oficina-integr-escrita-produto-nao-aparece-na-interface-3,1,,Integração,,,,26 de fevereiro de 2026 09:39,Oficina Reserva (https://app.notion.com/p/Oficina-Reserva-a27d12dd1749485488ea17df5dd253ac?pvs=21)
Informação digitada no campo Obs. está apagando,Concluída,,,,23 de fevereiro de 2026 09:49,Andrea Holmer,,23/02/2026,,,Demanda Concluída,,,,,UMD-1003,"Laura Delgado, Andrea Holmer",,,,,Carol,,Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,16 de março de 2026 15:29,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21)
Empenho integrando errado,Concluída,,,,23 de fevereiro de 2026 16:04,Marina Santoro,,20/02/2026,,,Demanda Concluída,,,,,UMD-1004,,,,,,Andre,,Demanda com uMode,Escrita - Empenho,https://linear.app/umode/issue/INTEG-699/lenny-integr-escrita-empenho-integrando-errado,4,,Integração,,,TECH,2 de março de 2026 17:12,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Solicitações de Mudanças e Travas no Empenho,Não iniciada,,,,24 de fevereiro de 2026 10:54,Laura Delgado,,,,,Backlog,,,,,UMD-1006,"Laura Delgado, Andrea Holmer",,,,,"Angelica, Ari e Geysla",,Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,26 de fevereiro de 2026 11:19,Highstil (https://app.notion.com/p/Highstil-c856575a8bb74628aeca8c8f9f8fcf1b?pvs=21)
Produtos não estão atualizando no Linx,Concluída,,,REGATA GRASS,24 de fevereiro de 2026 11:33,Laura Delgado,,24/02/2026   (BRT),,,Demanda Concluída,,,,,UMD-1007,"Laura Delgado, Andrea Holmer",,,,,Amanda,,Demanda com uMode,Escrita - Erro,https://linear.app/umode/issue/INTEG-709/lofty-integr-escrita-produto-com-erro-de-integracao,9,,Integração,,,TECH,17 de março de 2026 17:19,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)
Erro integração campos de informações fiscais,Concluída,,,,24 de fevereiro de 2026 16:48,Julianne Rodrigues,,24/02/2026,,,Demanda Concluída,,,,,UMD-1008,,,,1,[PUKET] - uFlow (https://app.notion.com/p/PUKET-uFlow-285b1d38e76880a19598eb7397b62a5c?pvs=21),,,Demanda com uMode,Escrita - Erro,https://linear.app/umode/issue/INTEG-711/puket-integr-escrita-produto-nao-integrou-com-todos-os-dados,1,,Integração,,,TECH,9 de março de 2026 13:06,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21)
Verificação de Integração (Status Atual),Concluída,,,,25 de fevereiro de 2026 10:54,Ju Ferré,,25/02/2026,,,Demanda Concluída,,,,,UMD-1012,,,,,,Vinicius Dias,,Demanda com uMode,Escrita - Erro,https://linear.app/umode/issue/INTEG-713/nv-integr-escrita-produto-nao-integrou-atualizacao-de-dados,1,,Integração,,,,18 de maio de 2026 14:45,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21)
"Atualizar lista campo etiqueta variante ",Concluída,,,,25 de fevereiro de 2026 11:03,Julianne Rodrigues,,25/02/2026,,,Em Validação - Cliente,,,,,UMD-1013,,,,1,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),,,Demanda com uMode,,,,,Suporte,,,OPERAÇÃO,1 de abril de 2026 14:26,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Criar novos campos de Apostas na Aba Custos e Preços,Concluída,,,,26 de fevereiro de 2026 08:41,Vanessa Rinaldi,,,26 de fevereiro de 2026,,Demanda Concluída,,,,,UMD-1016,,,,2," Buffer 2026 [NV]
 (https://app.notion.com/p/Buffer-2026-NV-311b1d38e76880f5aa3bd7ee2b529dd7?pvs=21)",Vinicius,,Demanda com uMode,,,,,Configuração,,,,30 de abril de 2026 11:24,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21)
Produto não gerou código linx (2),Concluída,,,segundo chamado do mesmo assunto na mesma semana,26 de fevereiro de 2026 09:16,Marina Santoro,,26/02/2026   (BRT),,,Em Validação - Cliente,,,,,UMD-1018,,,,,,Joyce,,Demanda com uMode,Escrita - Erro,https://linear.app/umode/issue/INTEG-712/oficina-integr-escrita-produto-nao-aparece-na-interface-3,1,,Integração,,,,23 de março de 2026 15:22,Oficina Reserva (https://app.notion.com/p/Oficina-Reserva-a27d12dd1749485488ea17df5dd253ac?pvs=21)
Auditoria Geral de Integração,Nível de Análise,,,,26 de fevereiro de 2026 09:21,Marina Santoro,,20/02/2026,,,Análise uMode,,,,,UMD-1020,,,,," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",Andre,,Demanda com uMode,Auditoria,https://linear.app/umode/issue/INTEG-700/lenny-integr-leitura-e-escrita-auditoria-geral-de-integracao,,,Relatório,,integração,TECH,20 de março de 2026 14:07,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Algum campo do produto tem mais caracteres do que o permitido no linx,Concluída,,,18d em aberto,26 de fevereiro de 2026 09:23,Marina Santoro,,19/02/2026,,,Demanda Concluída,,,,,UMD-1021,,,,,,Marina,,Demanda com uMode,Escrita - Erro,https://linear.app/umode/issue/INTEG-693/nv-integr-escrita-algum-campo-do-produto-tem-mais-caracteres-do-que-o,0,,Integração,,,,18 de março de 2026 13:56,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21)
