Descrição da Solicitação,Propriedade,Arquivos e mídia,Bloqueio,Comentário uMode,Criado em,Criado por,Criticidade,Data da Solicitação,Data de Conclusão,Data de Previsão de Entrega,Etapa,Files & media,Fórmula,Horas - Recurso Específico,Horas de Demanda,ID,Key Account/Responsável,Nível de Esforço,Observações,Prioridade,Projeto,Quem solicitou?,RFI,Responsabilidade,Suporte Integração,Task,Tempo de Resolução,Texto,Tipo de Demanda,Total de Horas,uMode - Macro Tema,Área Responsável,Última edição,👥 Clientes
Alterar perfil ‘time’ para ‘compras’,Concluída,,,,23 de dezembro de 2024 14:59,Marina Santoro,,12/12/2024,12 de dezembro de 2024,,Demanda Concluída,,,,,UMD-10,,,Feito.,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Cris,,Demanda com uMode,,,,,Suporte,,permissionamento,,14 de outubro de 2025 14:56,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Criar campo para sinalizar se é produto piloto e produção,Concluída,,,,23 de dezembro de 2024 15:03,Marina Santoro,,12/12/2024,12 de dezembro de 2024,,Demanda Concluída,,,,,UMD-11,,,Feito na ficha de produto.,,,Larissa,,Demanda com uMode,,,,,Configuração,,template de ficha,,26 de setembro de 2025 10:12,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Atualizar campo “familia” de texto para seleção,Concluída,,,,23 de dezembro de 2024 15:04,Marina Santoro,,12/12/2024,12 de dezembro de 2024,,Demanda Concluída,,,,,UMD-12,,,Feito na ficha de produto.,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Larissa,,Demanda com uMode,,,,,Suporte,,template de ficha,,14 de outubro de 2025 14:55,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Atualizar lista do campo “família”,Concluída,,,,23 de dezembro de 2024 15:04,Marina Santoro,,12/12/2024,12 de dezembro de 2024,,Demanda Concluída,,,,,UMD-13,,,Feito na ficha de produto.,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Cris,,Demanda com uMode,,,,,Suporte,,template de ficha,,14 de outubro de 2025 14:53,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
"Incluir campos para Aposta: ",Encerrada,,,,23 de dezembro de 2024 15:04,Marina Santoro,,12/12/2024,27 de dezembro de 2024,,Demanda Cancelada,,,,,UMD-14,,,"Dúvidas Marina:
1) coloca na primeira aba ou cria uma aba para aposta?
2) deixa os campos de preço junto dessa aba?
3) quem será responsável por preencher? ——— Conversei com a Larissa  e ela prefere esperar a Cris voltar para discutir este assunto com ela. A Lari sinalizou que talvez não faça sentido estar na uFlow esse tipo de informação.",,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Cris,,Demanda com uMode,,,,,Configuração,,,,3 de fevereiro de 2026 14:07,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Inativar cores conforme lista da Cris,Concluída,,,,23 de dezembro de 2024 15:05,Marina Santoro,,12/12/2024,2 de janeiro de 2025,,Demanda Concluída,,,,,UMD-15,,,Feito.,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Cris,,Demanda com uMode,,19489,,,Configuração,,ficha tecnica,,14 de outubro de 2025 14:55,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Incluir campo de ‘observação’ na aba de beneficiamento,Encerrada,,,,23 de dezembro de 2024 15:05,Marina Santoro,,12/12/2024,23 de dezembro de 2024,,Demanda Cancelada,,,,,UMD-16,,,Neste momento não é possível incluir campos nesta tela. Deixei o desejo mapeado para evoluções futuras de sistema.,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Julia,,Demanda com uMode,,,,,Configuração,,,,3 de fevereiro de 2026 14:07,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Levar campo de “status amostra” para aba de aprovações,Concluída,,,,23 de dezembro de 2024 15:05,Marina Santoro,,12/12/2024,23 de dezembro de 2024,,Demanda Concluída,,,,,UMD-17,,,Feito na ficha de produto.,3,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Andressa,,Demanda com uMode,,,,,Suporte,,aprovação,,14 de outubro de 2025 14:54,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Incluir aprovação tipo ‘Lacre’,Concluída,,,,23 de dezembro de 2024 15:05,Marina Santoro,,12/12/2024,12 de dezembro de 2024,,Demanda Concluída,,,,,UMD-18,,,Feito.,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Julia,,Demanda com uMode,,,,,Configuração,,aprovação,,14 de outubro de 2025 14:54,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Não ter que preencher a coleção na ficha porque já colocou o produto na ‘pasta’ certa,Concluída,,,,23 de dezembro de 2024 15:05,Marina Santoro,,12/12/2024,27 de dezembro de 2024,,Demanda Concluída,,,,,UMD-19,,,Sinalizado no treinamento e na daily de 18/12/24. Confirmei com a Larissa de não ter que preencher o campo coleção. Impactos: 1) será necessário preencher o campo de referência da pasta coleção igual ao campo do Linx; 2) quando mover o produto essa informação será atualizada; 3) ser regra da integração o campo referência da coleção.,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Julia,,Demanda com uMode,,,,,Suporte,,template de ficha,,14 de outubro de 2025 14:54,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
